기관,사업체명,기관소재지,직무요약,사업유형,계획인원,참여인원,모집기간,근무지역(상세),직무내용,모집인원(상세),주근무시간,월근무시간,임금액,구인담당자,연락처
서울강서시니어클럽,수현주유소,서울특별시/강서구,"설립년도 : 2015년 / 상시근로자수 : 3명 / 주요직무 : 주유업 계속운영계획 및 고용안정성 확보, 고용안정을 위해 3개월 인턴 수료후 계속고용 유도",현장실습 훈련 지원,2,0,2025-03-14 ~ 2025-12-31,경기 김포시 월곶면 김포대로 2553,"1.사업명 : 수현주유소2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 주유소 정산원4.부서배치 및 참여인원 : 주유소 정산원 2명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 인턴 2명, 훈련생 0명8.모집연령대 : 60대9.모집직종 : 주유소 정산원10.근무지역 : 경기 김포시 월곶면 김포대로 255311.자격사항 : 없음12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 2명 100% 계획",2,일/시간,,0,임지만,010-5442-5189
서울강서시니어클럽,나무숲재가복지센터,서울특별시/강서구,설립년도 : 2016년 상시근로자수 : 48명 주요직무 : 이용자 돌봄 계속운영계획 및 고용안정성 확보 고용안정을 위해 3개월 인턴 수료후 계속고용 유도,현장실습 훈련 지원,3,0,2025-01-01 ~ 2025-12-31,서울 강서구 공항대로 334,"1. 사업명 : 나무숲재가복지센터2. 사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3. 사업내용 : 복지센터 이용자 돌봄4. 부서매치 및 참여인원 : 사회복지사 1명, 간호조무사 1명, 운전사 1명5. 운영계획 : 고용안정을 위해 3개월 인턴 수료후 계속고용 유도6. 직무교육 : 상반기 하반기 직무교육 연2회7. 실시인원 : 인턴 3명8. 모집연령대 : 60대9. 모집직종 : 사회복지사, 간호조무사, 운전원10. 근무지역 : 서울 강서구 공항대로 33411. 자격사항 : 사회복지사 자격증, 간호조무사 자격증, 1종보통 운전면허증12. 고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 3명 100%계획",3,일/시간,,0,정솔마로,010-6438-9737
서울강서시니어클럽,강서온마음시니어재가센터,서울특별시/강서구,"65세이상 거동이 불편하시거나 65세미만 중풍, 치매, 뇌혈관질환 파킨슨병으로 장기요앙 1~5등급 어르신에게 요양보호사를 가정으로 파견하여 신체활동, 가사활동, 정서활동, 개인활동지원 서비스를 함 상시근로자수 5명 3개월 인턴기간 만료후 계속고용 예정",현장실습 훈련 지원,2,0,2025-02-25 ~ 2025-12-31,서울 강서구 가로공원로 84길 42,"1.사업명 : 강서온마음시니어재가센터2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 사회복지사4.부서배치 및 참여인원 : 사회복지사 2명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 인턴 2명, 훈련생 0명8.모집연령대 : 60대9.모집직종 : 사회복지사10.근무지역 : 서울 강서구 가로공원로 84길 4211.자격사항 : 고졸이상12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 10명 100% 계획",2,일/시간,,0,신은숙,010-8464-0505
서울강서시니어클럽,지축역한림풀에버 입주자대표회의,경기도/고양시,설립년도: 2020년 상시근로자수: 10인 주요직무: 공용부 시설관리 계속운영계획 및 고용안정성 확보 고용안정을 위해 3개월 인턴 수료후 계속고용 유도,현장실습 훈련 지원,2,0,2025-02-26 ~ 2025-12-31,경기도 고양시 덕양구 오부자로 15,"1.사업명 : 지축역한림풀에버입주자대표회의2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 공용부 시설관리4.부서배치 및 참여인원 : 전기,전자 설비 조작원 2명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : - 오리엔테이션(1시간) : 직장 내 근무수칙, 직원소개 및 시설소개 - 직무교육(1시간) : 안전수칙교육 및 해당 업무 교육7.실시인원 : 인턴 2명, 훈련생 0명8.모집연령대 : 60대9.모집직종 : 공용부 시설관리원10.근무지역 : 경기도 고양시 덕양구 오부자로 1511.자격사항 : 없음12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 2명 100% 계획",2,일/시간,,0,박혜선,02-6959-0311
구로시니어클럽,구로시니어클럽,서울특별시/구로구,자원재활용사업(황금마차),공동체사업단,76,40,2025-02-17 ~ 2025-12-31,,"1. 근무시간 : 주 2회 / 월 24시간 활동2. 근무지역 : 구로구 관내 고물상2. 모집인원: 76명3. 모집기간: 2025. 2. 17.(월) ~ 12. 31.(수)4. 급여수준 : 시급 10,030원5. 신청자격 : 60세이상 구로구민6. 신청제외자 : - 국민기초생활보장법에 의한 생계급여 수급자(*국민기초생활 보장법에의한 의료급여/교육급여/주거급여 수급자는 참여가능*) - 정부부처 및 지자체에서 추진 중인 일자리사업 참여자 - 국민건강보험 직장가입자 - 장기요양보험 등급판정자(1~5등급)7. 참여자선발 : 개별상담을 통해 ""참여자 선발기준표"" 작성하여 고득점자순으로 통합 선발8. 준비서류 : 주민등록등본 1부, 신분증9. 신청장소 : 구로시니어클럽(서울시 구로구 경인로 20가길 38, 3층), 온라인(복지로온라인신청-http://online.bokjiro.go.kr)10. 참여문의: 박민서 사회복지사(02-2066-7942)",76,8일/3시간,,"440,720",박민서,02-2066-7942
구로시니어클럽,구로시니어클럽,서울특별시/구로구,자원재활용사업(황금마차),공동체사업단,76,40,2025-02-17 ~ 2025-12-31,,"1. 근무시간 : 주 2회 / 월 24시간 활동2. 근무지역 : 구로구 관내 고물상2. 모집인원: 76명3. 모집기간: 2025. 2. 17.(월) ~ 12. 31.(수)4. 급여수준 : 시급 10,030원5. 신청자격 : 60세이상 구로구민6. 신청제외자 : - 국민기초생활보장법에 의한 생계급여 수급자(*국민기초생활 보장법에의한 의료급여/교육급여/주거급여 수급자는 참여가능*) - 정부부처 및 지자체에서 추진 중인 일자리사업 참여자 - 국민건강보험 직장가입자 - 장기요양보험 등급판정자(1~5등급)7. 참여자선발 : 개별상담을 통해 ""참여자 선발기준표"" 작성하여 고득점자순으로 통합 선발8. 준비서류 : 주민등록등본 1부, 신분증9. 신청장소 : 구로시니어클럽(서울시 구로구 경인로 20가길 38, 3층), 온라인(복지로온라인신청-http://online.bokjiro.go.kr)10. 참여문의: 박민서 사회복지사(02-2066-7942)",76,8일/3시간,,"440,720",박민서,02-2066-7942
은곡직업전문학교,가치앤케이1,서울특별시/성북구,사업시설 관리 인턴 후 계속고용,현장실습 훈련 지원,5,0,2025-01-01 ~ 2025-12-31,성북구,사업실행계획1.사업명 : 숙박시설 서비스원(고객서비스)(룸메이드 아님) 2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 사업시설 관리4.부서배치 및 참여인원 : 숙박시설 서비스원(고객서비스)(룸메이드 아님) : 5명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : 소양교육7.실시인원 : 인턴 5명8.모집연령대 : 60대9.모집직종 : 숙박시설 서비스원(고객서비스)(룸메이드 아님)10.근무지역 : 성북구11.자격사항 : 없음12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 5명 100% 계획,5,일/시간,,0,과장,010-5159-0155
은곡직업전문학교,고궁흑염소1,서울특별시/은평구,음식서비스 인턴 후 계속고용,현장실습 훈련 지원,4,0,2025-01-01 ~ 2025-12-31,은평구,"사업실행계획1.사업명 : 기타조리사:2명, 홀서빙원:2명2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 음식서비스업4.부서배치 및 참여인원 : 기타조리사:2명, 홀서빙원:2명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 :자체 소양교육7.실시인원 : 인턴 4명8.모집연령대 : 60대9.모집직종 : 기타조리사:2명, 홀서빙원:2명10.근무지역 : 은평구11.자격사항 : 없음12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 4명 100% 계획",4,일/시간,,0,대표,010-4023-1333
은곡직업전문학교,가치앤케이1,서울특별시/성북구,사업시설 관리 인턴 후 계속고용,현장실습 훈련 지원,5,0,2025-01-01 ~ 2025-12-31,성북구,사업실행계획1.사업명 : 숙박시설 서비스원(고객서비스)(룸메이드 아님) 2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.사업내용 : 사업시설 관리4.부서배치 및 참여인원 : 숙박시설 서비스원(고객서비스)(룸메이드 아님) : 5명5.운영계획 : 시니어인턴십 3개월 운영 후 신규고용6.직무교육 : 소양교육7.실시인원 : 인턴 5명8.모집연령대 : 60대9.모집직종 : 숙박시설 서비스원(고객서비스)(룸메이드 아님)10.근무지역 : 성북구11.자격사항 : 없음12.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 5명 100% 계획,5,일/시간,,0,과장,010-5159-0155
마포시니어클럽,속초정요양병원,강원도/속초시,상시근로자수:83명 주요업종:보건업 및 요양병원 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,4,0,2025-01-01 ~ 2025-12-31,강원도 속초시,"근무지역:강원도 속초시자격조건:만60세 이상 운전면허증, 간호조무사 자격 등 관련 업무 자격증 소지자급여:209만원 내외근무시간:월 209시간(협의)",4,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,의료법인 서인의료재단,강원도/춘천시,상시근로자수:59명 주요업종:의료 및 정신과 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,강원도 춘천시,"근무지역:강원도 춘천시내용:보건 의료 종사원지원조건:만60세 이상 신체 건강한 자, 관련 업무 경력자 우대급여:209만원 내외근무시간:스케줄에따라 상이 (주 40시간)",2,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,가로등주야간보호센터,경기도/고양시 일산서구,"상시근로자수:17명 주요업종:보건업 및 사회복지서비스업, 주야간보호센터 3개월 인턴기간 수료 후 계속고용 유도 예정",현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,경기도 고양시 일산서구,"지원조건:만60세 이상 조리사 자격증 소지자 및 관련 경력자월급여2,096,270원 내외근무시간:9~18근무요일:주5일",2,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,주식회사 로아벨,경기도/광주시,상시근로자수:1명 주요업종: 도매 및 소매업/가전제품 및 부품 도매업 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,5,0,2025-02-06 ~ 2025-12-31,경기도 광주시,지원조건:만 60세 이상 전산활용 가능한 자 및 관련 업무 경력자 우대월급여:209만원 내외근무시간:월 209시간자격사항:전산활용근무내용:판매 단순 종사원,5,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,굿닥터재활요양원,경기도/김포시,"상시근로자수:37명 주요업종:보건업 및 사회복지서비스업, 요양원 3개월 인턴기간 수료 후 계속고용 유도 예정",현장실습 훈련 지원,3,0,2025-01-01 ~ 2025-12-31,경기도 김포시,"지원조건:만60세 이상 자격증 소지자 및 타재정일자리지원사업 참여하고있지 아니한 자월급여:245만원 내외 간호조무사, 사회복지사근무지역:경기도 김포근무시간:9:00~18:00 주5일",3,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,엘사랑,경기도/남양주시,상시근로자수:4명 주요업종:요식업 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,1,0,2025-01-01 ~ 2025-12-31,경기도 남양주시,"지원조건 : 만 60세 이상 신체건강한 자 고용 중직무내용 : 조리 및 설거지근무시간 : 월~금 09:00~18:00급여 : 2,100,000원",1,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,고운샘주야간보호센터,경기도/부천시,상시근로자수:10명 주요업종:보건업 및 사회복지서비스업 / 노인복지시설 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,5,0,2025-05-26 ~ 2025-12-31,경기도 부천시,"지원조건:만60세 이상관련 업종 경험자 우대 및 자격증 소지자월급여: 2,096,270원근무시간: 월 209시간근무장소: 경기도 부천시",5,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,(자) 대일실업,경기도/성남시 중원구,상시근로자수:25명 주요업종:운수업 및 택시 3개월 인턴기간 수료 후 계속고용 유도예정,현장실습 훈련 지원,20,0,2025-01-01 ~ 2025-12-31,경기도 성남시,지원조건:만60세이상 운전면허증 및 택시운전 자격증소지자근무형태:정규직(스케줄 근무)근무시간:협의(스케줄 근무)월급여:209만원 내외차고지:경기도 성남시,20,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,사단법인대륙복지회,경기도/양평군,상시근로자수: 1명 주요업종: 사회복지서비스업 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,5,0,2025-07-16 ~ 2025-12-31,경기도 양평군,"지원조건:만60세 소방안전관리자 자격증 보유자 및 관련 업종 경험자 우대월급여:1,000,000원 내외근무시간: 일 8시간근무장소: 경기도 양평군",5,일/시간,,0,이현종,070-4441-4593
마포시니어클럽,바르다임병원,경기도/화성시,상시근로자수:60명 주요업종:서비스 및 정형외과 3개월 인턴기간 수료 후 계속고용 유도 예정,현장실습 훈련 지원,10,0,2025-02-04 ~ 2025-12-31,경기도 화성시,근무지역:경기도 화성시내용:바르다임병원 내 조리사 업무 10명지원조건:만60세 이상 조리사 자격증 소지자 및 관련 업무 경력자 우대급여:266만원 내외,10,일/시간,,0,이현종,070-4441-4593
(사)고령사회고용진흥원,우리요양원매화점,경기도/군포시,- 참여기업 주요업종 : 노인요양시설 - 상시근로자수 : 4명 3개월 인턴기간 수료 후 계속 고용 유도,현장실습 훈련 지원,1,0,2025-08-01 ~ 2025-08-14,경기도 군포시,우리요양원매화점에서 현장실습훈련 지원사업 사원을 모집합니다.,1,일/시간,,0,김영옥,031-399-1041
(사)고령사회고용진흥원,사회적협동조합 멋진인생웰다잉,서울특별시/강동구,"1. 주요업종 : 협회 및 단체, 수리 및 기타 개인서비스(장례용품, 장의관련 서비스) 2. 상시근로자수 : 3명 3개월 인턴기간 수료 후 계속 고용 유도",현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,서울시 강동구,사회적협동조합 멋진인생웰다잉에서 시니어인턴 사원(기타 사무원 0명)을 채용합니다.,2,일/시간,,0,김태근,010-6565-3366
성동희망나눔,성동희망나눔,서울특별시/성동구,자원재활용사업(희망이끌림),공동체사업단,30,8,2024-12-02 ~ 2025-12-31,4층 희망나눔 노인일자리센터,■ 노인일자리 및 사회활동지원사업 공동체 사업단 참여자 모집   1. 활동기간 : 2025 년 1 월 1 일 ~ 12 월 31 일2. 활동시간 : 주 3 회 (일 3시간 ) / 월 36시간 등록일 ㅣ 2024-11-26 정부지원일자리,30,12일/3시간,,"232,500",이안나,010-7997-4799
성동희망나눔,성동희망나눔,서울특별시/성동구,성동희망나눔 공동작업장,공동체사업단,24,24,2024-12-02 ~ 2025-12-31,4층 희망나눔 노인일자리센터,■ 노인일자리 및 사회활동지원사업 공동체 사업단 참여자 모집   1. 활동기간 : 2025년 1 월 1 일 ~ 12 월 31 일 2. 활동시간 : 주 3 회 (일 3시간 ) / 월 36시간 등록일 ㅣ 2024-11-26 정부지원일자리,24,12일/3시간,,"280,000",이안나,02-463-0028
(사)고령사회고용진흥원,한양순대해장국,서울특별시/송파구,- 주요업종: 음식(한식) - 상시근로자수: 2명 3개월 인턴기간 수료 후 계속 고용 유도,현장실습 훈련 지원,1,0,2025-08-01 ~ 2025-08-14,서울시,한양순대해장국에서 현장실습훈련 지원사업 사원을 모집합니다.,1,일/시간,,0,유경희,02-422-1559
(사)고령사회고용진흥원,주식회사리앤이라마띠네 나인트리 명동점,서울특별시/중구,주요업종 : 음식점업(한식) 상시근로자수 : 13명 3개월 인턴기간 수료 후 계속 고용 유도,현장실습 훈련 지원,2,0,2025-01-01 ~ 2025-12-31,서울시,주식회사리앤이라마띠네 나인트리 명동점에서 현장실습훈련사원 2명을 모집합니다.,2,일/시간,,0,김민섭,02-963-7785
